Id,Speed_Diff
1,None
2,Low
3,None
4,High
5,Low
6,Medium
7,Medium
8,Medium
9,Low
10,Medium
11,None
12,None
13,Medium
14,High
15,High
16,High
17,None
18,High
19,Low
20,None
21,None
22,None
23,Low
24,None
25,Medium
26,Medium
27,High
28,None
29,None
30,High
31,None
32,Low
33,Very_High
34,Medium
35,Low
36,Low
37,Medium
38,High
39,High
40,None
41,None
42,None
43,High
44,Very_High
45,High
46,Low
47,Medium
48,Low
49,Low
50,Low
51,Medium
52,Medium
53,High
54,Medium
55,None
56,High
57,Very_High
58,High
59,High
60,None
61,None
62,Low
63,None
64,Low
65,Very_High
66,None
67,High
68,Low
69,High
70,High
71,None
72,Medium
73,Medium
74,Medium
75,High
76,High
77,None
78,None
79,Medium
80,High
81,Low
82,Low
83,Very_High
84,None
85,None
86,Low
87,None
88,Medium
89,None
90,High
91,Medium
92,None
93,None
94,High
95,Medium
96,None
97,High
98,None
99,None
100,Very_High
101,Medium
102,Medium
103,None
104,None
105,High
106,Medium
107,Very_High
108,High
109,Low
110,None
111,Low
112,None
113,High
114,High
115,None
116,Low
117,Medium
118,None
119,None
120,Very_High
121,None
122,None
123,Medium
124,Low
125,Medium
126,High
127,Low
128,High
129,Medium
130,None
131,Medium
132,Low
133,Medium
134,Medium
135,Very_High
136,Medium
137,Low
138,Medium
139,Very_High
140,Low
141,None
142,High
143,High
144,High
145,Low
146,Medium
147,High
148,High
149,High
150,None
151,High
152,None
153,Low
154,High
155,Very_High
156,Low
157,Medium
158,Very_High
159,Medium
160,Low
161,High
162,High
163,None
164,Low
165,Medium
166,Low
167,High
168,Low
169,Medium
170,None
171,None
172,Medium
173,None
174,Low
175,Medium
176,None
177,Low
178,Medium
179,Medium
180,Low
181,High
182,High
183,Low
184,High
185,None
186,Low
187,Medium
188,High
189,High
190,Low
191,None
192,Low
193,High
194,Medium
195,None
196,Low
197,High
198,High
199,Low
200,Very_High
201,Low
202,None
203,Medium
204,Low
205,Medium
206,None
207,High
208,Low
209,Medium
210,None
211,None
212,None
213,Very_High
214,Low
215,Medium
216,None
217,Low
218,High
219,High
220,None
221,Low
222,None
223,Medium
224,Very_High
225,High
226,None
227,None
228,High
229,Low
230,Very_High
231,None
232,High
233,None
234,Low
235,Low
236,Low
237,None
238,High
239,Medium
240,None
241,None
242,None
243,Medium
244,Medium
245,Low
246,High
247,None
248,None
249,Medium
250,Medium
251,None
252,Medium
253,Low
254,Medium
255,High
256,High
257,None
258,Low
259,Low
260,Low
261,Low
262,None
263,None
264,Medium
265,Low
266,Medium
267,High
268,Medium
269,Low
270,Low
271,Low
272,None
273,Medium
274,Low
275,Low
276,Low
277,Medium
278,High
279,None
280,None
281,High
282,None
283,None
284,Low
285,None
286,Medium
287,High
288,None
289,Medium
290,Very_High
291,None
292,Low
293,Low
294,High
295,None
296,Medium
297,Low
298,Medium
299,None
300,None
301,None
302,None
303,None
304,Low
305,None
306,Medium
307,Medium
308,None
309,None
310,Medium
311,None
312,Low
313,None
314,Medium
315,None
316,Very_High
317,Low
318,Medium
319,Very_High
320,Medium
321,Low
322,Medium
323,Low
324,Medium
325,None
326,Medium
327,None
328,High
329,High
330,Low
331,Medium
332,Low
333,None
334,Low
335,None
336,Very_High
337,Low
338,None
339,High
340,Medium
341,None
342,Low
343,Low
344,Low
345,None
346,High
347,None
348,None
349,Medium
350,Medium
351,Low
352,High
353,None
354,Very_High
355,Medium
356,Very_High
357,Low
358,Low
359,High
360,High
361,None
362,None
363,Medium
364,Very_High
365,Medium
366,Medium
367,Low
368,Medium
369,None
370,Low
371,Low
372,High
373,None
374,None
375,Low
376,Low
377,None
378,None
379,Very_High
380,None
381,None
382,None
383,Low
384,High
385,None
386,Low
387,None
388,High
389,Medium
390,Medium
391,None
392,Medium
393,High
394,None
395,Medium
396,None
397,Medium
398,None
399,Low
400,None
401,None
402,High
403,Low
404,Very_High
405,None
406,High
407,Medium
408,None
409,Medium
410,None
411,None
412,Low
413,Medium
414,None
415,Low
416,High
417,Low
418,None
419,Medium
420,Medium
421,None
422,None
423,High
